number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever (Trial),Brawl Stars Trivia (Trial),Bungee Drop (Trial),Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle (Trial),Engineering CAD,Entomology,Experimental Design,Forensics,Helicopter (Trial),Hovercraft (Trial),Machines,Materials Science,Remote Sensing,Robot Tour (Trial),Rocks and Minerals,Streamer University Entrance Exam (Trial),Texas Trivia (Trial),Valorant Variety (Trial),Water Quality,Write It Do It (Trial)
43,Moreau Catholic High School,,,Hayward,CA,,34,602,25,31,67,67,67,38,46,39,15,27,37,67,67,33,43,22,67,67,38,33,42,67,35,67,67,67,31,67
37,Monta Vista High School,Green,,Cupertino,CA,,35,624,37,13,67,67,67,67,16,4,11,67,9,67,24,67,67,67,67,67,67,67,5,67,8,67,67,67,28,67
49,Riverside STEM Academy,2,,Riverside,CA,,36,683,48,43,67,67,6,44,40,31,35,41,33,67,67,39,26,32,12,67,18,67,67,67,22,67,67,67,30,67
50,Riverside STEM Academy,3,,Riverside,CA,,37,688,34,28,10,67,67,50,28,36,42,36,42,67,67,40,18,41,8,67,36,67,22,67,34,67,67,67,67,67
13,BASIS Pflugerville,,,Pflugerville,TX,,38,709,67,67,13,67,7,31,45,34,41,67,35,4,67,37,32,42,11,67,35,34,19,67,40,67,67,67,16,67
59,Ed W. Clark High School,Blue,,Las Vegas,NV,,39,711,40,38,11,67,9,52,48,44,52,37,44,67,24,32,42,46,14,67,41,42,41,67,43,67,67,4,45,3
64,Plattsburgh High School,Black,,Plattsburgh,NY,,40,711,51,37,67,67,67,40,32,35,55,42,31,67,67,46,36,36,67,67,42,35,46,67,45,67,67,67,35,67
38,Monta Vista High School,Orange,,Cupertino,CA,,41,724,41,67,67,67,67,42,67,45,67,67,67,67,20,9,1,53,67,67,67,31,25,67,21,67,67,67,34,67
56,Westlake High School,Team Blue,,Austin,TX,,42,738,10,67,67,67,67,67,41,20,43,12,67,67,67,67,67,47,67,67,13,39,11,67,33,67,67,67,67,67
39,Monta Vista High School,Pink,,Cupertino,CA,,43,742,67,67,67,67,67,30,6,37,67,67,39,67,2,67,8,34,67,67,33,38,67,67,67,67,67,67,46,67
51,Students On the Academic Rise High School,,,Lancaster,CA,,44,744,49,45,67,67,67,53,35,43,50,34,30,67,67,41,39,53,67,67,39,43,35,67,44,6,67,67,44,9
33,DeBakey High School for Health Professions,Team A,,Houston,TX,,45,755,54,67,67,11,67,23,34,42,48,29,32,67,24,38,44,67,67,67,67,36,45,67,67,67,8,12,38,67
42,Monta Vista High School,Yellow,,Cupertino,CA,,46,769,17,67,67,67,67,41,67,67,21,2,67,67,67,2,67,12,67,67,67,67,67,67,67,67,67,67,4,67
57,Westlake High School,Team Red,,Austin,TX,,47,771,20,39,67,67,67,12,67,67,19,26,18,67,67,67,67,67,67,67,32,41,28,67,67,67,67,67,67,67
65,Plattsburgh High School,Hornets,,Plattsburgh,NY,,48,797,52,46,67,67,67,67,49,67,51,35,38,67,67,45,45,48,67,67,20,28,36,67,36,67,67,67,67,67
23,Fairfield County Homeschoolers,,,Redding,CT,,49,799,12,67,67,67,67,15,67,67,17,67,40,67,67,42,67,17,67,67,67,44,67,67,9,67,67,67,67,67
36,Monta Vista High School,Blue,,Cupertino,CA,,50,835,7,67,67,67,67,45,11,30,67,67,67,67,67,67,67,19,67,67,67,67,39,67,14,67,67,67,67,67
18,Cave Spring High School,,,Roanoke,VA,,51,835,28,44,67,14,67,43,44,67,44,44,36,67,67,67,35,52,67,67,67,67,47,67,46,9,3,13,37,67
41,Monta Vista High School,White,,Cupertino,CA,,52,867,31,67,67,67,67,27,67,67,39,9,67,67,67,6,67,18,67,67,67,67,67,67,67,67,67,67,67,67
34,DeBakey High School for Health Professions,Team B,,Houston,TX,,53,877,15,67,67,67,67,67,47,67,53,39,67,67,24,67,67,49,67,67,67,44,67,67,31,67,5,67,39,67
7,Austin Area Homeschoolers,,,Austin,TX,,54,878,50,21,67,67,67,33,22,67,38,67,43,67,67,67,67,51,67,67,67,67,43,67,41,67,67,67,67,67
40,Monta Vista High School,Red,,Cupertino,CA,,55,910,53,67,67,67,67,23,67,67,34,67,67,67,67,15,33,15,67,67,67,67,67,67,67,67,67,67,67,67
47,Prestonwood Christian Academy,,,Plano,TX,,56,961,30,35,67,6,67,51,67,67,54,67,67,67,67,67,40,43,67,67,67,67,67,67,38,67,67,6,67,67
12,BASIS Independent Fremont,2,,Fremont,CA,,57,1040,67,67,67,67,67,46,67,67,46,67,67,67,67,67,37,40,67,67,67,67,67,67,67,7,67,67,67,67
44,North Austin Science Alliance,,,Round Rock,TX,,58,1067,67,42,67,67,67,49,38,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
19,Clinton High School,CHS,,Clinton,SC,,59,1086,67,67,67,67,67,67,50,67,67,67,67,67,67,31,67,67,67,67,67,67,67,67,67,67,67,67,67,67
20,Clinton High School,Red,,Clinton,SC,,60,1119,67,67,67,67,67,67,67,67,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
21,Cypress Springs High School,Team A,,Cypress,TX,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
22,Cypress Springs High School,Team B,,Cypress,TX,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
29,Jersey Village High School,,,Houston,TX,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
30,John B. Connally High School,,,Austin,TX,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
62,Ed W. Clark High School,Red,,Las Vegas,NV,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
63,Lawrence E. Elkins High School,,,Missouri City,TX,,61,1139,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
